Book Name,Author,Rating,Number of Reviews,Price,Listening Time (Minutes),Rank,Genre,Processed_Description,cluster
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,342.0,10080.0,654.0,1,Society & Culture (Books),"Over past three year , Jay Shetty become one world ’ popular influencers . One clip watched video Facebook last year , 360 million view . His social medium following total 32 million , produced 400 viral video amassed five billion view , podcast , On Purpose , consistently ranked world ’ number one health-related podcast .",1
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3670.0,615.0,203.0,2,Personal Success,Brought Penguin .,2
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20240.0,10378.0,317.0,3,Personal Development & Self-Help,"In generation-defining self-help guide , superstar blogger cut crap show u stop trying positive time truly become better , happier people .",1
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4646.0,888.0,335.0,5,Personal Success,Brought Penguin .,2
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4305.0,1005.0,385.0,6,Spiritualism,"Stop going life , Start growing life !",1
Extraordinary Leadership,Robin Sharma,4.1,179.0,0.0,66.0,1,ess Careers,"By completing purchase agree Audible ’ Conditions Use , Amazon 's Privacy Notice applicable Audible 's Recurring Payment Terms .",4
Sapiens,Yuval Noah Harari,4.6,20078.5,1093.0,918.0,4,Anthropology (Books),Fire gave u power . Farming made u hungry . Money gave u purpose . Science made u deadly .,1
Sapiens,Yuval Noah Harari,4.6,10161.5,1132.0,1302.0,72,Anthropology (Books),New York Times Best Seller,0
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9296.0,18290.0,1068.0,7,Analysis & Strategy,The Classic Text Annotated Update Graham 's Timeless Wisdom Today 's Market Conditions,0
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22029.5,837.0,369.0,9,Personal Development & Self-Help,Rich Dad Poor Dad will… .,1
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5099.0,8735.0,664.0,8,g & Wellness,"Legendary leadership elite performance expert Robin Sharma introduced The 5AM Club concept 20 year ago , based revolutionary morning routine helped client maximise productivity , activate best health bulletproof serenity age overwhelming complexity .",0
